Email Address,Golf Day 15/11/13,IML Breakfast 13/3/14,WCM 4-5/6/14,Investment Forum 4/6/14,Midwinter Art Event 6/8/14,Womens Forum 20/08/14,Kapstream 27/08/14,Forum - Point 23/10/14,WCM 5-6/11/14,Golf Day 10/11/14,Albury Dinner 13/11/14,Womens Forum 12/11/14,,Total Cost
127,,,,,,,,,,,,,, $-   
128,,,,Invited,,,,,,,,,, $-   
129,,,,,,,,,,,,,, $-   
130,,,,Attended,,,,,,,,,, $203.44 
131,,,,,,,Attended,Invited,,,,,, $13.89 
132,,,,,,,,,,,,,, $-   
133,,,,,,Invited12,,,,,,,, $-   
134,,,,,,,,,,,,,, $-   
135,,,Invited 5th,Invited,Invited,,Invited12,Invited,,Invited,,,, $-   
136,,,,,,,,,,,,,, $-   
137,,,,,,,,,,,,,, $-   
138,,,,Invited,,,,Invited,,,,,, $-   
139,,,,,,,,,,,,,, $-   
140,,,,,,,,,,,,,, $-   
141,,,,Invited,Invited,,,Invited,6th,,,,, $-   
142,,,,Invited,,,,,6th,,,,, $-   
143,,,,,,,,,,,,,, $-   
144,,,,Attended,,,,,,,,,, $203.44 
145,,,,,,,,,,,,,, $-   
146,,,Attended,Didn't Show,,,,,,Invited,,,, $33.33 
147,,,,,,,,,,,,,, $-   
148,,,,,,,,,,,,,, $-   
149,,,,,,,,,,,,,, $-   
150,,,,,,,,,,,,,, $-   
151,,,,,,,,,,,,,, $-   
152,,,,,,,,,,,,,, $-   
153,,,,,,,,,,,,,, $-   
154,,,,Invited,,,,,,,,,, $-   
155,,,,,,,,,,,,,, $-   
156,,,Attended,Attended,,,,,Attended,,,,, $268.02 
157,,,,,,,,,,,,,, $-   
158,,,,,,,,,,,,,, $-   
159,,,,,,,,,,,,,, $-   
160,,,,,,,,,,,,,, $-   
161,,,,,,,,,,,,,, $-   
162,,,,,,,,,,Attended,,,, $189.85 
163,,,,,,,,,,Attended,,,, $189.85 
164,,,,,,Invited20,,Invited,,,,,, $-   
165,,,,Invited,,,,Invited,,,,,, $-   
166,,,,Invited,,,,Invited,5th,Invited,,,, $-   
167,,,,,,,,,,,,,, $-   
168,,,,,,,,,,,,,, $-   
169,,,,,,,,,,,,,, $-   
170,,,,,,,,,,,,,, $-   
171,,,,,,,,,,,,,, $-   
172,,Accept,,,,,,,,Attended,,,, $189.85 
173,,,,,,,,,,,,,, $-   
174,Attended,,,,,,,,,Invited,,,, $269.57 
175,,,,,,,,,,Invited,,,, $-   
176,,,,,,,,,,,,Invited,, $-   
177,,,,Attended,,,,Attended,,Invited,,,, $407.52 
178,,,,,,,,,,,,,, $-   
179,,,,,,,,Invited,,Attended,,,, $189.85 
180,,,,,,,,,,,,,, $-   
181,,Decline,,Attended,,,,,,,,,, $203.44 
182,,,,,,,,,,,,,, $-   
183,Attended,,,,,,,,,Invited,,,, $269.57 
184,,,,,,,,,,,,,, $-   
185,,,,Invited,,,,,,,,,, $-   
186,,,,,,,,,,,,,, $-   
187,,,,,,,,Invited,,Invited,,Invited,, $-   
188,,,,Attended,,,,,,,,,, $203.44 
189,,,,,,,,,,,,,, $-   
190,,,,,,,,,,,,,, $-   
191,,,,Invited,,,,,,,,,, $-   
192,,,,,,Attended,,,,,,,, $7.50 
193,,,,,,,,,,,,,, $-   
194,,,,,Invited,,,,,,,,, $-   
195,,,,Invited,Invited,,,,,,,,, $-   
196,,,,Invited,,,,,,,,,, $-   
197,,,,,,,,,,,,,, $-   
198,,,,,,,,,,,,,, $-   
199,Attended,Attended,Attended,Attended,,,,Attended,,Attended,,,, $950.27 
200,,,,,,,,Invited,,,,Invited,, $-   
201,,,,,,,,,,,,,, $-   
202,,,,,,,,,,,,,, $-   
203,,,,RSVP YES,,,Invite3,Attended,,Invited,,,, $204.08 
204,Attended,,,Attended,,,,Invited,,Attended,,,, $662.86 
205,,,,,,,,,,,,,, $-   
206,,,,,,,,,,,,,, $-   
207,,,,,,,,,,,,,, $-   
208,,,,,,Invited13,,Invited,,,,Invited,, $-   
209,,,,Invited,,,,,,,,,, $-   
210,,,,Invited,,Invited19,,,,,,,, $-   
211,,,,Invited,invited2,,,,,Invited,,,, $-   
212,,,,,,,,,,,,,, $-   
213,,,,,,,,,,,,,, $-   
214,,,,Attended,Invited,Attended,,Invited,Attended,,,Invited,, $242.19 
215,,,,,,,,,,,,,, $-   
216,,,,,,,,,,,,,, $-   
217,,,,Invited,,,,Invited,,,,Invited,, $-   
218,,,,,,Attended,,,,,,,, $7.50 
219,,,,,,,,,,,,,, $-   
220,,,,,,,,,,,,,, $-   
221,,,,,,,,,,,,,, $-   
222,,,,,,,,,,,,,, $-   
223,,,,,,,,,,,,,, $-   
224,,,,,,,,,,,,,, $-   
225,,,,,,,,,,,,,, $-   
226,,,,Invited,,Invited20,Attended,,,,,,, $13.89 
227,,,,,,,,,,,,,, $-   
228,Attended,,,Attended,Invited,,Attended,,,Attended,Attended,,, $739.25 
229,,,,,,,,,,,,,, $-   
230,,,,,,,,,,,,,, $-   
231,,,,Invited,,,,,,,,,, $-   
232,,,,,,,,,,,,,, $-   
233,,,,,,,,,,,,,, $-   
234,,,,,,,,,,,,,, $-   
235,,,,,,,Invited12,,5th,,,,, $-   
236,,,,,,,,,,,,,, $-   
237,,,,,,,,,,,,,, $-   
238,Attended,,,Attended,,,,Attended,,Attended,,,, $866.94 
239,,,,,,,,,,,,,, $-   
240,,,,,,,,,,,,,, $-   
241,,,,,,,,,,,,,, $-   
242,,,,,,,,,,,,,, $-   
243,,,,Attended,,,Invited10,Invited,,,,,, $203.44 
244,,,,,,,,,,,,,, $-   
245,,,,Invited,,,,Invited,,,,,, $-   
246,,,,,,,,,,,,,, $-   
247,,,,,,,,,,,,,, $-   
248,,Decline,Attended,Attended,,,Attended,Attended,,,,,, $454.74 
249,,,,,,,,Invited,,,,,, $-   
250,,,Invited 5th,Invited,,,,Invited,,,,,, $-   
251,,,,,,,,,,,,,, $-   
252,,Decline,,,,,,,,,,,, $-   
253,,,,,,,,,,,,,, $-   
254,,,,,,,,,,,,,, $-   
255,,,,,,,,,,,,,, $-   
256,,,,,,,,,,,,,, $-   
257,,,,,,,,,,,,,, $-   
258,,,,,,,,,,,,,, $-   
259,,,,,,,,,,,,,, $-   
260,,,,,,,,,,,,,, $-   
261,,,,,,,,,,,,,, $-   
262,,,,,,,,,,,,,, $-   
263,,,,,,,,,,,,,, $-   
264,,,Attended,,,,Attended,Invited,6th,,,,, $47.22 
265,,,,,,,,Invited,,,,,, $-   
266,,,,,,,,,,,,,, $-   
267,,,,,,,,,,,,,, $-   
268,,,,,,,,,,,,,, $-   
269,,,,,,,,,,Attended,,,, $189.85 
270,,,,Invited,Invited,,Invited12,Attended,5th,Attended,,,, $393.93 
271,,,,Attended,,,,,,Attended,,,, $393.28 
272,,,,Invited,,,,,,,,,, $-   
273,,,,Invited,,,,,,,,,, $-   
274,,,,,,,,,,,,,, $-   
275,Attended,,,,,,,Invited,,Attended,,,, $459.42 
276,,,,,,,,,,,,,, $-   
277,,,,Attended,,,Attended,Invited,,,,,, $217.32 
278,Attended,,,Attended,Invited,,,,,Attended,,,, $662.86 
279,,,Invited 5th,,,,,,,,,,, $-   
280,,,Attended,Invited,,,Invited12,Invited,5th,Invited,,,, $33.33 
281,,,,,,,,,,,,,, $-   
282,,,,,,,,,,,,,, $-   
283,,,,,,,,,,,,,, $-   
284,Attended,Attended,,Attended,Invited,,,,,Attended,Attended,,, $775.36 
285,Attended,Attended,,,,,,,,,,,, $319.57 
286,,,,Invited,,,,Invited,,Invited,,,, $-   
287,,,,,,,,,,,,,, $-   
288,,,,,,,,,,,,,, $-   
289,,,,Invited,,,,,5th,,,,, $-   
290,,,,,,,,,,,,,, $-   
291,,,,,,,,,,,,,, $-   
292,,,,,,,,,,,,,, $-   
293,,,,Invited,,,,Invited,,,,,, $-   
294,,,,,,,,,,,,,, $-   
295,,,,,,,,,,,,,, $-   
296,,,,,,,,,,,,,, $-   
297,,,,Attended,,,Invite3,Invited,,Invited,,Invited,, $203.44 
298,,,,Invited,,,Invited10,,,Invited,,,, $-   
299,,,,,,,,,,,,,, $-   
300,Attended,,Invited 5th,Attended,Invited,Invited19,Attended,Attended,Attended,Invited,,,, $722.23 
301,,,,,,,,,,,,,, $-   
302,,,,,,,,,,,,,, $-   
303,,,,,,,,,,,,Invited,, $-   
304,Attended,,,,,Attended,,,,Attended,,,, $466.92 
305,,,,,,,,,,,,,, $-   
306,,,,,Invited,,,Attended,,,,,, $204.08 
307,Attended,,,Attended,,,Invited10,,,Attended,,,, $662.86 
308,Attended,,Invited 4th,Invited,,,Invite3,Invited,,Attended,,,, $459.42 
309,,,,,,,,,,,Invited,,, $-   
310,,,,,,,,,,,,,, $-   
311,,,,,,,,,,,,,, $-   
312,,,,,,,,,,,,,, $-   
313,,,,,,Attended,,,,,,,, $7.50 
314,,,,,,,,,,,,,, $-   
315,,,,,,,,,,,,,, $-   
316,,,,,,,,,,,,,, $-   
317,,,,,,,,,,,,,, $-   
318,,,,,,,,,,,,,, $-   
319,,,,Invited,,,,,,Invited,,,, $-   
320,,,,Invited,,,Invited12,,6th,Invited,,,, $-   
321,,,,,,,,,,,,,, $-   
322,,,,Invited,,,,,,Invited,,,, $-   
323,,,,Invited,,,Invite3,Invited,,Invited,,,, $-   
324,,,,Invited,,,,Invited,Attended,,,,, $31.25 
325,,,,,,,,,,,,,, $-   
326,,,,,,,,,,,,,, $-   
327,,,,,,,,,,,,,, $-   
328,,,,Invited,,,,Invited,,Invited,Invited,,, $-   
329,,,,,,Attended,,,,Invited,,,, $7.50 
330,,,,,,,,,,,,,, $-   
331,,,,Invited,Invited,,,,,,,,, $-   
332,,,,,,,Invited10,Attended,,,,,, $204.08 
333,,,,,,,,,,,,,, $-   
334,,,,,,,,,,,,,, $-   
335,,,,,,,,,,,,,, $-   
336,,,,,invited2,,,,5th,,,,, $-   
337,,,,Invited,,,,,,Invited,,,, $-   
338,,Decline,,,,Attended,,,6th,,,,, $7.50 
339,,,,,,,,Attended,,Attended,,,, $393.93 
340,,,Attended,Invited,,,,,5th,Invited,,,, $33.33 
341,,,,,,,,,,,,,, $-   
342,Attended,,,Attended,Invited,,Attended,Attended,,Attended,,,, $880.83 
343,,,,,,,,,,,,,, $-   
344,,,,,,,,,,,,,, $-   
345,,,,,,,,,,,,,, $-   
346,,,,,,,,,,,,,, $-   
347,,,,,,,,Attended,,,,,, $204.08 
348,,,,,,,,,,,,,, $-   
349,,,,,,,,,,,,,, $-   
350,,,,,,,,,,,,,, $-   
351,,,,,,,,,,,,,, $-   
352,,,,,,,,Invited,,Invited,,,, $-   
353,,,,,,,,,,,,,, $-   
354,,,,,,,,,,,,,, $-   
355,,,,Invited,,,,,,,,,, $-   
356,,,,,,,,,,,,,, $-   
357,,,,Invited,,,,Attended,,Attended,,,, $393.93 
